event_type,return,abs_return,direction
premarket_open,-0.00045446952555416864,0.00045446952555416864,-1.0
market_open,-0.002778835236115551,0.002778835236115551,-1.0
market_close,0.003313915001738277,0.003313915001738277,1.0
postmarket_close,6.3200604850433e-05,6.3200604850433e-05,1.0
premarket_open,-0.000476655650185398,0.000476655650185398,-1.0
market_open,0.002327007930497116,0.002327007930497116,1.0
market_close,0.0010496667816808358,0.0010496667816808358,1.0
postmarket_close,0.00044406709747435436,0.00044406709747435436,1.0
premarket_open,0.00019692323342357376,0.00019692323342357376,1.0
market_open,0.0005877451033182712,0.0005877451033182712,1.0
market_close,-0.0007546033866131507,0.0007546033866131507,-1.0
postmarket_close,0.002024053047837704,0.002024053047837704,1.0
premarket_open,-0.001148003626425309,0.001148003626425309,-1.0
market_open,-0.0053780166141444985,0.0053780166141444985,-1.0
market_close,-0.0011637964680170088,0.0011637964680170088,-1.0
postmarket_close,-0.002570337410865542,0.002570337410865542,-1.0
premarket_open,0.002107940855372137,0.002107940855372137,1.0
market_open,-0.004479925393833906,0.004479925393833906,-1.0
market_close,0.0020652984422389054,0.0020652984422389054,1.0
postmarket_close,-0.0005240748470318746,0.0005240748470318746,-1.0
premarket_open,0.0015837405223251277,0.0015837405223251277,1.0
market_open,-0.000572760213000012,0.000572760213000012,-1.0
market_close,0.0006320776751749246,0.0006320776751749246,1.0
postmarket_close,0.0005545260232342475,0.0005545260232342475,1.0
premarket_open,0.0021625791329453747,0.0021625791329453747,1.0
market_open,1.2300631822892427e-05,1.2300631822892427e-05,1.0
market_close,0.003609773398262517,0.003609773398262517,1.0
postmarket_close,0.001494750334602557,0.001494750334602557,1.0
premarket_open,0.00038713096759468435,0.00038713096759468435,1.0
market_open,-0.0034632397981352314,0.0034632397981352314,-1.0
market_close,0.0021098762497231416,0.0021098762497231416,1.0
